name,operator,city,country,lat,lon,geo_precision,status,note,source,url
Applied Digital Polaris Forge 2,Applied Digital (Oracle anchor),"Harwood, ND (Cass Co)",US,47.023300,-96.858000,town,construction,"$3B / 280 MW AI Factory on 900+ acres just north of Fargo. Broke ground Sept 2025. Phase 1 (200 MW, 2 buildings) starts coming online 2026; full 200 MW by 2027. Oracle leases 200 MW under a 15-year, $5B contract.",Applied Digital press; Data Center Dynamics; Valley News Live; North Dakota Monitor,https://www.brockovichdatacenter.com/
AWS Hinds County,Amazon,"Clinton, MS (Hinds Co)",US,32.341700,-90.324200,town,construction,$1B AWS data center repurposing the former Delphi manufacturing plant in Clinton. 100 jobs. Part of Amazon's $25B Mississippi build-out announced April 2026.,About Amazon; Mississippi Development Authority; Governor Reeves press,https://www.brockovichdatacenter.com/
AWS North Louisiana,Amazon,"Caddo / Bossier Parishes, LA",US,32.515100,-93.732100,town,construction,$12B AI data center campuses spanning Caddo and Bossier Parishes — Amazon's first northwest Louisiana investment. Announced February 2026; construction beginning imminently.,Louisiana Economic Development; About Amazon; The Advocate,https://www.brockovichdatacenter.com/
Amazon Falls Township,Amazon,"Falls Township, PA",US,40.182300,-74.764900,town,construction,Second Pennsylvania campus in Amazon's $20B AI / cloud expansion announced June 2025.,About Amazon; Bucks County Courier Times,https://www.brockovichdatacenter.com/
CoreWeave Lancaster County,CoreWeave,"Lancaster County, PA",US,40.037900,-76.305500,town,construction,"$6B+ hyperscale AI campus, planned 100 MW with expansion to 300 MW.",CoreWeave press; LancasterOnline; Data Center Dynamics,https://www.brockovichdatacenter.com/
Air Products Upper Macungie,Air Products / hyperscale tenant,"Upper Macungie Township, PA",US,40.574000,-75.610700,town,construction,2.6M sq ft data center campus announced November 2025 in Lehigh County outside Allentown.,Air Products press release; The Morning Call,https://www.brockovichdatacenter.com/
Stack Pittsylvania (Berry Hill),Stack Infrastructure,"Pittsylvania County, VA",US,36.653700,-79.411700,town,construction,"AI data center campus at the Berry Hill megasite — promised 2,000+ permanent positions. Announced April 2026.",Cardinal News; Pittsylvania County board filings,https://www.brockovichdatacenter.com/
AWS Richmond County,Amazon,"Rockingham, NC",US,34.938400,-79.774800,town,construction,"$10B AI / cloud campus, broke ground October 31, 2025. Full build-out expected 2027–2028.",About Amazon (June 2025); Richmond Observer; Charlotte Business Journal,https://www.brockovichdatacenter.com/
Fermi Project Matador,Fermi America / Texas Tech,"Amarillo (Pantex), TX",US,35.321400,-101.558200,town,construction,"11 GW campus on 5,769 acres next to DOE's Pantex plant. Multi-source power (nuclear, gas, solar, batteries). First 1 GW targeted late 2026; nuclear in later phases.",Fermi America; Construction Review; Sierra Club,https://www.brockovichdatacenter.com/
MSB Matrix Data Center Campus,MSB Global,"Sulphur Springs, TX",US,33.130000,-95.550000,town,construction,"1,677-acre campus on the former Thermo lignite coal mine. 30 buildings × 100 MW (3 GW total) planned. NVIDIA GB300 GPUs, immersion cooling, Bloom Energy fuel-cell microgrid. First 100 MW building online Sept 2026.",MSB Global; KETK East Texas; KLTV; Aterio,https://www.brockovichdatacenter.com/
Hobart Devco / Amazon,Amazon,"Hobart, IN",US,41.540000,-87.265800,town,construction,Part of Amazon's $15B Indiana AI investment. Site at 61st Avenue & Colorado Street. Local rezoning approved; campus contributes to 2.4 GW total Indiana capacity.,Amazon press; WTHR; NWI Forum; Indiana Economic Digest,https://www.brockovichdatacenter.com/
Meta El Paso,Meta,"El Paso, TX",US,31.905000,-106.428000,town,construction,"$10B+ AI data center in northeast El Paso. Broke ground October 2025, expanded to 1 GW capacity in March 2026. ~$13B financing in process. 1 GW online by 2028; 4,000+ peak construction workers.",Meta newsroom; CNBC; El Paso Matters; Texas Tribune,https://www.brockovichdatacenter.com/
EdgeCore Sterling AS01/AS02,EdgeCore Digital Infrastructure,"Sterling, VA",US,39.006700,-77.428600,town,construction,"Two single-tenant hyperscale data centers (AS01 + AS02) totaling 114 MW across 685,000 sq ft. $1.5B construction financing closed April 2026; both fully leased. AS01 occupancy Nov 2026; AS02 July 2027.",EdgeCore press; Data Centre Magazine; Commercial Property Executive,https://www.brockovichdatacenter.com/
NorthMark Spartanburg,NorthMark Strategies,"Spartanburg County, SC",US,34.941800,-81.929600,town,construction,$2.76B HPC / AI campus repurposing former Kohler manufacturing facility at 4000 S. Pine St. First 'data hall' online spring 2026.,Post & Courier; WSPA; Spartanburg County records,https://www.brockovichdatacenter.com/
TigerDC Project Spero,TigerDC,"Spartanburg County, SC",US,35.025000,-81.910000,town,construction,$3B AI-focused HPC data center at Tyger River Industrial Park - North. TigerDC's second Spartanburg investment. Construction starts 2026; Phase I operations 2027.,Fox Carolina; Spectrum News SC; Spartanburg County Council,https://www.brockovichdatacenter.com/
PowerHouse Louisville,PowerHouse Data Centers + Poe Companies,"Louisville, KY",US,38.185000,-85.875000,town,construction,Kentucky's first hyperscale campus — 154 acres on Camp Ground Rd west of Shively. 6 buildings / 1.8M sq ft / 402 MW capacity. First 130 MW online October 2026.,PowerHouse Data Centers press; Lane Report; CommercialCafe; LG&E / PPL,https://www.brockovichdatacenter.com/
Joliet Technology Center,Hillwood + PowerHouse Data Centers,"Joliet, IL (Jackson Twp)",US,41.475000,-88.059000,town,construction,"$20B / 1.8 GW / 795-acre, 24-building AI campus near Chicagoland Speedway. Joliet City Council approved 8–1 on March 20, 2026. Largest data center in Illinois; up to 10,000 construction jobs. Significant community opposition; state legislators pushing regs.",City of Joliet; Data Center Dynamics; Bisnow Chicago; Shaw Local,https://www.brockovichdatacenter.com/
Vantage Frontier (Shackelford),Vantage Data Centers (for OpenAI + Oracle),"Shackelford County, TX",US,32.730000,-99.300000,town,construction,"$25B / 1.4 GW Stargate mega-campus on 1,200 acres. 10 single-story buildings (3.7M sq ft total). Liquid cooling for 250kW+ racks. Broke ground Dec 2025; first building delivers 2H 2026. Vantage's largest project ever.",Vantage Data Centers press; Data Center Dynamics; Construction Owners; OpenAI,https://www.brockovichdatacenter.com/
Stargate Milam County,OpenAI + SB Energy,"Milam County, TX",US,30.783300,-96.866700,town,proposed,"Stargate fast-build site in central Texas, with SB Energy providing powered infrastructure. Announced Sept 2025.",OpenAI press; SiliconANGLE; Cloud Wars,https://www.brockovichdatacenter.com/
Vantage 'Lighthouse' (Stargate Port Washington),Vantage Data Centers / OpenAI + Oracle,"Port Washington, WI",US,43.387200,-87.874300,town,construction,"$15B Stargate campus on 672 acres, 30 min north of Milwaukee. Broke ground 2026. Phase 1: ~2.5M sq ft across 4 single-story buildings + 50k sq ft warehouse. Full build-out targeted 2028. 24-hour construction noise generating resident complaints. Wisconsin regulators approved tariff changes requiring large-load customers to fund own generation/grid costs.",DCD; Ozaukee Press; WPR; ConstructConnect; Wisconsin DNR; DataCenters.com (2026),https://www.brockovichdatacenter.com/
O'Leary Digital Stratos Project,O'Leary Digital,"Box Elder County, UT",US,41.510300,-112.650000,town,proposed,"Up to 9 GW off-grid (natural gas) AI data center campus on ~40,000 acres of private land plus 1,200 acres of military/state-owned land. Approved by Utah MIDA (April 2026) and Box Elder County Commission (May 4, 2026).",Tom's Hardware; Salt Lake Tribune; Peoples Dispatch; ABC4 Utah,https://www.brockovichdatacenter.com/
Far North Digital Prudhoe Bay,Far North Digital,"Prudhoe Bay, AK",US,70.321000,-148.711000,town,proposed,Proposed Arctic data center starting at 120 MW with significant expansion potential.,Anchorage Daily News; UAF ACEP,https://www.brockovichdatacenter.com/
USAF JBER,U.S. Air Force RFP,"Joint Base Elmendorf-Richardson, AK",US,61.253300,-149.796400,town,proposed,"USAF-offered land for AI data center development (April 2026). Up to 4,700 acres across three Alaska bases. Developer not yet selected.",Air & Space Forces Magazine; Space Force; Data Center Dynamics,https://www.brockovichdatacenter.com/
USAF Eielson AFB,U.S. Air Force RFP,"Eielson AFB, AK",US,64.665500,-147.078000,town,proposed,USAF-offered land for AI data center development (April 2026). Developer not yet selected.,Air & Space Forces Magazine; Space Force,https://www.brockovichdatacenter.com/
USAF Clear SFS,U.S. Air Force RFP,"Clear Space Force Station, AK",US,64.294900,-149.190000,town,proposed,USAF-offered land for AI data center development (April 2026). Developer not yet selected.,Air & Space Forces Magazine; Space Force,https://www.brockovichdatacenter.com/
Stargate Saline Township,Oracle + OpenAI + Related Digital,"Saline Township, MI",US,42.167000,-83.786000,town,construction,"1.4 GW, 2.2M sq ft data center on 250 acres in Washtenaw County (near Ann Arbor). Construction began despite local 'no' vote. Michigan PSC approved 19-year DTE power agreement.",Fortune; Latitude Media; Crain's Detroit Business; MPSC filings,https://www.brockovichdatacenter.com/
Archbald AI Megaplex,Multiple developers,"Archbald, PA",US,41.503900,-75.539600,town,proposed,Multiple conditional-use applications filed for AI data center campuses. ~495 acres recently acquired by one developer. Awaiting borough council approval.,Hoodline; Lackawanna County records; Scranton Times-Tribune,https://www.brockovichdatacenter.com/
Appeal Digital Park,Natelli Holdings + Amazon / Constellation,"Lusby, MD",US,38.319000,-76.435000,town,proposed,"Four 200,000+ sq ft data centers proposed adjacent to Appeal Landfill in Calvert County. $30M regional park offered as community offset. Amazon/Constellation evaluating tenancy. Commissioners exploring 24-month moratorium.",The BayNet; Washington Post; Lusby Today; Southern Maryland Chronicle,https://www.brockovichdatacenter.com/
Mercer County KY Project,Undisclosed (LinkedIn investor pitch),"Harrodsburg, KY",US,37.762500,-84.850500,town,proposed,"500+ acres of farmland marketed for a data center, requiring up to 110M gallons/year of water. 1,700+ residents petitioned in opposition. No formal application filed yet.",LEX18; WKYT; Harrodsburg Herald; WEKU,https://www.brockovichdatacenter.com/
Skybox San Angelo,Skybox Datacenters,"San Angelo, TX",US,31.529500,-100.412800,town,proposed,350 acres of city-owned land NE of San Angelo near Hwy 67 & City Farm Rd. Six-building campus exploration; expected ~$17.4M land deal.,Data Center Dynamics; San Angelo LIVE!; San Angelo city government,https://www.brockovichdatacenter.com/
Beacon Data Centers Dove Creek,Beacon Data Centers (Nadia Partners),"Dove Creek (San Angelo area), TX",US,31.415000,-100.550000,town,proposed,"Second AI data center exploring site near San Angelo, separate from Skybox proposal. Beacon backed by Nadia Partners (Canadian AI/digital infrastructure investor).",Concho Valley Homepage; Data Center Dynamics,https://www.brockovichdatacenter.com/
Project Stonebridge,Stonebridge / hyperscale tenant,"Fort Meade, FL",US,27.754700,-81.797800,town,proposed,"$2.6B / 1.2 GW hyperscale AI campus on 1,300-acre former phosphate mine. 1.9–4.4M sq ft. Florida Commerce Secretary called it 'fundamentally flawed' over water/grid concerns. Permits still pending.",WUSF; WFLA; Tampa Bay Times; FloridaDataCenters.org,https://www.brockovichdatacenter.com/
Beltline Energy Pacific,Beltline Energy,"Pacific, MO (Franklin Co)",US,38.482500,-90.745000,town,proposed,"$16B proposed campus on 495 acres near the Meramec River. Franklin County P&Z recommended denial in April 2026 (4–5 vote). Vocal grassroots opposition (3,000+ in 'No AI Data Centers in Franklin County').",St. Louis Magazine; Spectrum News; First Alert 4; Data Center Dynamics,https://www.brockovichdatacenter.com/
Texas Critical Data Centers,New Era Energy + Stream Data Centers,"Ector County (Permian Basin), TX",US,31.761900,-102.367600,town,proposed,438-acre AI campus near Odessa adjacent to Vistra and Calpine generation. Initial 200 MW with 1 GW potential. Stream Data Centers joined April 2026 ahead of full 2026 construction start. Behind-the-meter natural gas power.,Construction Review; Data Center Dynamics; BusinessWire; Nasdaq,https://www.brockovichdatacenter.com/
Cleveland Hyperscale (Slavic Village),Lakeland Equity Group,"Cleveland, OH",US,41.452500,-81.644800,town,proposed,$1.6B / 150 MW campus proposed on 35 acres at the Morabito site (between I-77 and East 55th St) in Slavic Village. Three buildings; positioned as Cleveland's first hyperscale facility.,NEOtrans; Cleveland Plain Dealer; Lakeland Equity Group,https://www.brockovichdatacenter.com/
EdgeCore Louisa County,EdgeCore Digital Infrastructure,"Louisa County, VA",US,37.986300,-77.993100,town,proposed,$17B / 1.1 GW data center campus planned in Louisa County as part of EdgeCore's expanded NoVA roadmap (also includes Culpeper County).,Virginia Business; Data Center Dynamics; EdgeCore,https://www.brockovichdatacenter.com/
Stream Genesee STAMP,Stream Data Centers,"Town of Alabama, NY (Genesee Co)",US,43.098000,-78.385000,town,proposed,"$19.46B / 2.2M sq ft AI data center proposed for the STAMP industrial park. ~$1.4B in tax subsidies sought. Awaiting environmental + site-plan approval; aiming to break ground 2026, fully operational by 2030.",13WHAM; Spectrum News Rochester; Investigative Post; The Real Deal,https://www.brockovichdatacenter.com/
Diode Ventures Gemstone,Diode Ventures,"Kuna, ID",US,43.492000,-116.510000,town,proposed,$1B+ / 620-acre data center park about 6 miles west of Meta's Kuna site. Approved April 2025 by Kuna City Council. Operator not yet announced; build-out could take a decade.,Data Center Dynamics; BoiseDev; Gem State Chronicle,https://www.brockovichdatacenter.com/
CRG Festus,CRG (Clayco),"Festus, MO (Jefferson Co)",US,38.220000,-90.400000,town,proposed,"$6B AI data center on 300+ acres near Hwy 67 & County Rd CC. Festus council approved framework March 31, 2026 (6–2). Half the council voted out by residents weeks later; opposition group sued the city + developer. End user undisclosed.",STLPR; Spectrum News STL; Tom's Hardware; Fox 2 Now,https://www.brockovichdatacenter.com/
Triboro Industrial Park,Sansone Group / Ercor Triboro LLC,"Olyphant / Jessup, PA",US,41.474400,-75.585300,town,proposed,Proposed 4-building data center complex near Marshwood and Moosic Lake Rd at the Olyphant/Jessup border. First building targeted for 2027. Olyphant Borough has imposed a 6-month moratorium on data centers; Borough is also drafting an AI data center ordinance.,Grist; DeSmog; WVIA; WNEP; Lackawanna County records,https://www.brockovichdatacenter.com/
AWS Warren County,Amazon,"Vicksburg, MS (Warren Co)",US,32.352600,-90.885600,town,proposed,"$3B planned AWS data center investment in Warren County, part of Amazon's $25B Mississippi expansion announced April 2026.",About Amazon; Mississippi Development Authority; Governor Reeves press,https://www.brockovichdatacenter.com/
Google New Florence,Google,"New Florence, MO (Montgomery Co)",US,38.910600,-91.442100,town,proposed,"$15B Google data center campus announced May 20, 2026 — largest single private investment in Missouri history. 900+ acres near I-70 / Hwy 19 interchange, next to a previously announced Amazon $35B site. Closed-loop, non-evaporative air cooling. 2,300 construction jobs.",KSDK; KCUR; Missouri Independent; Governor Kehoe press; Power Magazine,https://www.brockovichdatacenter.com/
Nebius Independence Campus,Nebius,"Independence, MO (Jackson Co)",US,39.053900,-94.330000,town,construction,"1.2 GW AI factory broke ground May 12, 2026 at Eastgate Commerce Center (Little Blue Pkwy & MO-78). 400 acres, up to 10 buildings. ~1,200 construction jobs / ~130 full-time. Multi-billion-dollar investment; $150bn taxable industrial development revenue bonds secured.",Nebius newsroom; BusinessWire; DCD; City of Independence; Seeking Alpha,https://www.brockovichdatacenter.com/
PowerHouse Grand Prairie,PowerHouse Data Centers + Provident,"Grand Prairie, TX (Ellis Co)",US,32.610000,-96.985000,town,construction,768-acre hyperscale campus with 1.8 GW switchyard; 24 buildings across 3 phases. First 500 MW tranche approved through ERCOT. First building energized May 2026. Joint venture between PowerHouse (American Real Estate Partners) and Provident Data Centers.,DCD; PRNewswire; Bisnow; REBusinessOnline; Dallas Innovates,https://www.brockovichdatacenter.com/
Midtown St. Louis Armory,Contour / TeraWatt / THO Investments,"St. Louis, MO (Midtown)",US,38.636300,-90.234700,town,proposed,"$3B mixed-use project at the former Famous-Barr warehouse & Armory buildings — includes a 120 MW data center (largest in St. Louis), hotel, and apartments. Board of Public Service approved conditional use permit April 21, 2026 with environmental conditions. 1,000+ construction jobs.",STLPR; St. Louis Magazine; First Alert 4; ConstructConnect; STL News,https://www.brockovichdatacenter.com/
Aligned Project Caprock,Aligned Data Centers,"Abernathy, TX (Hale Co)",US,33.833200,-101.849900,town,construction,"540 MW / 313-acre campus with 6 buildings totaling 1.65M sq ft. ~$5B economic impact projected. Broke ground April 9, 2026. Aligned is building & funding dedicated electrical infrastructure to protect local ratepayers. First building (LBB-01) targeted for Q1 2027 service.",Aligned press release; DCD; W.Media; GlobeNewswire; tEDmag,https://www.brockovichdatacenter.com/
Microsoft Cheyenne Expansion,Microsoft,"Cheyenne, WY (Laramie Co)",US,41.140000,-104.780000,town,proposed,"Microsoft announced intent April 14, 2026 to purchase ~3,200 additional acres SE of downtown Cheyenne (two parcels: ~200 acres in Bison Business Park + 3,000 adjacent acres). Triples Microsoft's Wyoming footprint. $68M+ in committed off-site infrastructure improvements. Multi-year planning/development timeline.",Microsoft press release; DCD; Cowboy State Daily; HPCwire; Oil City News,https://www.brockovichdatacenter.com/
Fleet South Valley (Tract/TRIC),Fleet Data Centers / Tract,"Storey County, NV (TRIC)",US,39.494400,-119.440000,town,construction,"$4.6B / 2M sq ft AI data center 'South Valley' broke ground May 20, 2026 along USA Parkway in the Tahoe Reno Industrial Center. Governor Lombardo attended. Tract has secured 11,000+ acres in Storey County. 1,000+ construction jobs per site; ~100 full-time when complete. Tract seeking $3.8B financing.",KOLO TV; My News 4; 2 News; DCD; The Nevada Independent; Carson Now,https://www.brockovichdatacenter.com/
NAS Lemoore (Ameresco),Ameresco / U.S. Navy,"Lemoore, CA (Kings Co)",US,36.251900,-119.948200,town,proposed,$1B data center + solar farm + battery storage proposed by Ameresco on 930 leased acres around Naval Air Station Lemoore. Approved by Navy + congressional notification cleared. Groundbreaking expected mid-2026.,Hanford Sentinel; KMJ Now; Ameresco; Navy press,https://www.brockovichdatacenter.com/
SoftBank PORTS Technology Campus,SoftBank / SB Energy + AEP Ohio,"Piketon, OH (Pike Co)",US,38.942000,-83.013000,town,construction,"Up to 10 GW AI data center on 3,700 acres at the former Portsmouth Gaseous Diffusion Plant (DOE Uranium enrichment site). DOE–SB Energy public-private partnership announced March 2026; groundbreaking held. $500B+ projected economic impact. 9.2 GW natural gas generation + new AEP transmission. 10,000+ construction jobs. Largest planned data center campus in the world.",U.S. Dept of Energy; DCD; HPCwire; WOUB; ConstructionReview (Mar 2026),https://www.brockovichdatacenter.com/
Amazon New Florence (Montgomery Co),Amazon / AWS,"New Florence, MO (Montgomery Co)",US,38.920000,-91.415000,town,construction,"$10B data center campus north of I-70 near New Florence, MO — officially confirmed June 15, 2026 (revised up $2B from earlier reporting). Announced alongside a $15B Google campus directly south. 400+ permanent jobs. Amazon committed $7M+ in community contributions, including $3M for emergency dispatch services and $1M+ for a new gathering space at the county fairgrounds. Grassroots group Save Montgomery County opposes both projects over water, power, and public-input concerns.",About Amazon (Jun 2026); Gov. Kehoe press; KOMU; Jefferson City News-Tribune (2025–2026),https://www.brockovichdatacenter.com/
AVAIO Digital Little Rock,AVAIO Digital Partners,"Little Rock, AR",US,34.746500,-92.289600,town,construction,$6B+ multi-phase hyperscale AI campus. Phase 1 construction underway 2026.,Construction Dive; ConstructConnect (2026),https://www.brockovichdatacenter.com/
CoreWeave Kenilworth (NEST),CoreWeave,"Kenilworth, NJ",US,40.677600,-74.283200,town,construction,"$1.8B / 250 MW AI data center retrofitting the former Merck & Co. campus (Northeast Science & Technology Center). 392,600 sq ft total. Construction began Sept 2025; operational early 2027. $250M NJ state tax credit; $555M GLAS loan; Nvidia $2B equity stake in CoreWeave. Significant resident opposition over noise, water use, and traffic.",RE-NJ; DCD; CommercialSearch; ABC7NY; NJ News 12 (2025–2026),https://www.brockovichdatacenter.com/
Google Botetourt County,Google,"Daleville, VA (Botetourt Co)",US,37.410000,-79.900000,town,proposed,3-building campus (~1M sq ft) at Botetourt Center at Greenfield. Google purchased 312 acres for $14M (June 2025). Grading to begin before end of 2026; first building targeted for 2028. $10M+ projected annual local tax revenue per building. Community input ongoing.,WDBJ7; DCD; Botetourt County gov; Roanoke Rambler; WVTF (Mar 2026),https://www.brockovichdatacenter.com/
Cologix Johnstown Campus,Cologix,"Johnstown, OH (Licking Co)",US,40.150600,-82.686300,town,construction,$7B+ / 800 MW / 154-acre campus ~25 miles NE of Columbus in the Licking County data center corridor. 8 AI-ready buildings / 2M sq ft at full build-out. Phase 1 broke ground 2025; additional phases through late 2020s. Two new gas-fired power plants also proposed nearby to serve surging Licking County data center load.,Cologix press; DCD; Commercial Property Executive; The Reporting Project (2024–2025),https://www.brockovichdatacenter.com/
Project Bunkhouse (Taurus / Digital Realty),Taurus Investment Holdings / Digital Realty,"Stilesboro, GA (Bartow Co)",US,34.210000,-84.850000,town,proposed,"$19B / 1,830 MW / 8.6M sq ft campus on 876-acre Gaines Farm near Stilesboro, NW of Atlanta. 12 buildings. Bartow County Planning Commission recommended approval May 2025; rezoning decision pending. Full build-out projected by 2035.",AJC; DCD; GovTech; Coosa Valley News; Bisnow Atlanta (2025),https://www.brockovichdatacenter.com/
Related Digital Cheyenne,Related Digital (CoreWeave anchor),"Cheyenne, WY",US,41.089700,-104.910000,town,construction,"$1.2B / 302 MW campus on 115 acres at Cheyenne Business Parkway. Broke ground Oct 7, 2025 with Governor Gordon. Phase 1 (184,000 sq ft / 36 acres) targeted late 2026. CoreWeave is anchor tenant (88 MW). 700+ construction jobs; $250M+ projected tax revenue over 15 years. High-efficiency air-cooled, minimal water use.",Related Digital press; Wyoming News; BizWest; Clayco (Oct 2025),https://www.brockovichdatacenter.com/
Crusoe Project Jade,Crusoe + Tallgrass Energy,"Laramie County, WY (south of Cheyenne)",US,41.020000,-104.870000,town,construction,"1.8 GW AI data center campus (expandable to 10 GW) at Switch Grass Industrial Park, 8 miles south of Cheyenne. Announced July 2025; Laramie County unanimously approved construction Jan 2026. Powered by Tallgrass Energy's on-site natural gas turbines (BFC Power / Cheyenne Power Hub). First buildings targeted 2027. At 10 GW would be largest single AI campus in U.S. — nearly tripling Wyoming's current energy generation.",DCD; WyoFile; Inside Climate News; Crusoe; Tallgrass; Cowboy State Daily (2025–2026),https://www.brockovichdatacenter.com/
Quantica / Big Sky Digital Infrastructure,Quantica Infrastructure (EnCap-backed),"Yellowstone County, MT (north of Billings)",US,45.950000,-108.500000,town,proposed,"5,000-acre AI and energy hub north of Billings. Initial 500 MW via renewable power + battery storage, expandable to 1 GW. NorthWestern Energy signed LOI for up to 1,000 MW (July 2025). Construction begins 2026; first building targeted 2029. Sparking debate over water impacts in rural Montana.",DCD; NorthWestern Energy; Big Sky Economic Development; Montana Free Press (2025–2026),https://www.brockovichdatacenter.com/
Prometheus Hyperscale Casper,Prometheus Hyperscale,"Natrona County, WY (east of Casper)",US,42.860000,-106.100000,town,proposed,1.5 GW liquid-cooled AI data center campus proposed ~10 miles east of Casper. Navigating permitting to target operations by 2028. Separate from Meta's 'Prometheus' project in Ohio.,Oil City News; Casper Star-Tribune (May 2026),https://www.brockovichdatacenter.com/
Hillwood '75 South' Campus,Industrial VI Enterprises (Hillwood affiliate),"Spalding County, GA",US,33.220000,-84.220000,town,proposed,"7 two-story buildings / 2.24M sq ft / 400 MW on ~292 acres along Tomochichi Road in Spalding County's southeast corner, ~27 miles south of Atlanta. ~$6B at buildout; ~$86M estimated annual local tax revenue but only ~200 permanent jobs. Planning board recommended denial; commissioners heard proposal May 28, 2026.",DCD; FOX 5 Atlanta; Georgia DCA DRI filing; Baxtel (May 2026),https://www.brockovichdatacenter.com/
Bitdeer Shalersville (Turnpike Commerce Center),Bitdeer + Geis Cos.,"Shalersville Township, OH (Portage Co)",US,41.212200,-81.304100,town,proposed,"15-building AI/HPC campus on 257 acres at Turnpike Commerce Center. 150 MW initial capacity, up to 750 MW at full build-out. $300M+ construction cost (equipment additional). Bitdeer's largest planned U.S. facility. Township moratorium in effect until November 2026; hundreds of residents rallied in opposition May 30, 2026.",News5Cleveland; Cleveland19; BlueWater Healthy Living (May 2026),https://www.brockovichdatacenter.com/
Project Dazzler (Tilted Gate / Fortune 100),Tilted Gate LLC (Fortune 100 tenant),"Franklin Furnace, OH (Scioto Co)",US,38.668700,-82.847900,town,proposed,"792-acre campus in Green Township east of the Ohio River. Phase 1: 500,000 sq ft; full build-out: 1.7M sq ft across two data center buildings. ~$1B investment. 75% tax abatement / $500K annual PILOT. Ohio EPA wetlands permit cleared state review (March 2026). ~1,200 construction jobs. Fortune 100 tech tenant undisclosed.",DCD; Scioto Valley Guardian; Scioto County Daily News; Portsmouth Daily Times; Herald-Dispatch (Jan–Mar 2026),https://www.brockovichdatacenter.com/
