asset_id,dependency_asset_id,field,value,note,edited
load-nyiso-1730,sub-adirondack,secondary_feed,none,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Same finding as the Haverstock edge: one tapped circuit (HA-1), researched absence of a second feed. The Haverstock and Adirondack edges of this load are the two ENDS of that one tapped circuit, not two feeds. https://www.nyiso.com/documents/20142/1407078/NYISO-Interconnection-Queue.xlsx",2026-09-07T00:00:00Z
load-nyiso-1731,sub-haverstock,secondary_feed,none,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Queue #1731 (ZeroC NY AI Data Center, 300 MW) names a single POI: a tap on ONE circuit, 'Haverstock-Adirondack 345kV transmission line HA-2'. Predecessor #1719 at Dennison is withdrawn. The Haverstock and Adirondack edges of this load are the two ENDS of that one tapped circuit, not two feeds. https://www.nyiso.com/documents/20142/1407078/NYISO-Interconnection-Queue.xlsx",2026-09-07T00:00:00Z
load-nyiso-1731,sub-adirondack,secondary_feed,none,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Same finding as the Haverstock edge: one tapped circuit (HA-2), researched absence of a second feed. The Haverstock and Adirondack edges of this load are the two ENDS of that one tapped circuit, not two feeds. https://www.nyiso.com/documents/20142/1407078/NYISO-Interconnection-Queue.xlsx",2026-09-07T00:00:00Z
f052,sub-clay,backup_power,yes,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Diesel: Micron plans 118 diesel-powered backup generators for the Clay megafab (Times Union; NYSDEC CLCPA 7(2) justification of 2025-12-12 carries the emergency-engine restriction verbatim, Title V permit issued). Applies to both queue phases. https://www.timesunion.com/business/article/budget-bill-exempt-micron-permit-backup-diesel-22278633.php",2026-09-07T00:00:00Z
f052,sub-clay,secondary_feed,none,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). All documented service is eight 345 kV underground laterals, two per fab, every one running from the single expanded Clay substation (National Grid Micron Electric Service Project fact sheet, Feb 2024; PSC Case 24-T-0120). https://www.nationalgridus.com/media/construction-projects/pdfs/ny/micron/micron_fact_sheet.pdf",2026-09-07T00:00:00Z
load-nyiso-1736,sub-clay,secondary_feed,none,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Ranalli SuperDC's only documented POI is a tap of the NYPA Clay-Pannell 345 kV circuits PC-1 and PC-2 (applied 2025-05-07, ~300 MW); no second substation or alternate POI is documented. The researcher's value 'no' was upheld with the dual-circuit nuance recorded. https://www.interconnection.fyi/data-center/state/NY",2026-09-07T00:00:00Z
load-nyiso-1757,sub-leeds,secondary_feed,none,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Queue #1757 (NY-Route 9W Load Center, 1,000 MW) names exactly one POI, 'Leeds 345kV substation' (National Grid), no ATO. NOTE the skeptic's larger fact: the row's project status is 0 = WITHDRAWN per the sheet's own legend - this gigawatt may not exist at all. https://www.nyiso.com/documents/20142/1407078/NYISO-Interconnection-Queue.xlsx",2026-09-07T00:00:00Z
load-nyiso-1726,sub-huntley,backup_power,no,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). The developer's own project FAQ states verbatim the facility 'will not use backup generators that some facilities require'. Pre-approval claim (SEQR paused June 2026), atypical design, could change in later filings - the basis is the developer's public statement of record. http://riverviewtechcampus.com/future-use",2026-09-07T00:00:00Z
load-nyiso-1726,sub-packard,backup_power,no,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Same developer-FAQ finding as the Huntley edge: no backup generators by design, pre-approval. http://riverviewtechcampus.com/future-use",2026-09-07T00:00:00Z
load-nyiso-1747,sub-beck-packard,backup_power,partial,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). On-site sources documented but not full-load coverage: Phase 1 is 10 MW DC + 12 MWh Morlus BESS, Phase 2 'Gas Generation + Scale to 200 MW' (Stokes Energy, the project's EPC partner - single vendor-marketing source, and the mapping of Globe Digital Holdings 1 to the 3801 Highland Ave site is inferred from queue-number order #1747). BESS framed partly as revenue stacking, not purely backup. https://stokesus.com/",2026-09-07T00:00:00Z
load-nyiso-1748,sub-beck-packard,backup_power,partial,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). CCHP up to 40 MW of gas generation on a 200 MW load, plus Morlus BESS, fed by a 24-inch gas pipeline (Stokes Energy - single vendor-marketing source; the mapping of GLOBE DH 2 to 2201 College Ave is inferred from queue-number order #1748). 40 of 200 MW is partial by arithmetic. https://stokesus.com/",2026-09-07T00:00:00Z
load-nyiso-1747,sub-packard,backup_power,partial,"Re-pointed 2026-09-10 after the Packard merge (sub-beck-packard -> sub-packard); Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). On-site sources documented but not full-load coverage: Phase 1 is 10 MW DC + 12 MWh Morlus BESS, Phase 2 'Gas Generation + Scale to 200 MW' (Stokes Energy, the project's EPC partner - single vendor-marketing source, and the mapping of Globe Digital Holdings 1 to the 3801 Highland Ave site is inferred from queue-number order #1747). BESS framed partly as revenue stacking, not purely backup. https://stokesus.com/",2026-09-10T00:00:00Z
load-nyiso-1748,sub-packard,backup_power,partial,"Re-pointed 2026-09-10 after the Packard merge (sub-beck-packard -> sub-packard); Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). CCHP up to 40 MW of gas generation on a 200 MW load, plus Morlus BESS, fed by a 24-inch gas pipeline (Stokes Energy - single vendor-marketing source; the mapping of GLOBE DH 2 to 2201 College Ave is inferred from queue-number order #1748). 40 of 200 MW is partial by arithmetic. https://stokesus.com/",2026-09-10T00:00:00Z
site-b034c54b77,sub-kintigh,backup_power,yes,"Re-pointed 2026-09-10: the Lake Mariner filings (#849, #1670, #1732) now carry the campus's site id, so the vouched facts follow the edge. Applies to every Lake Mariner edge on Kintigh. Battery, not diesel: Schneider Galaxy VX UPS + lithium-ion, explicitly no diesel on site (Next Platform, verified verbatim); duration unestablished. https://www.nextplatform.com/compute/2026/05/28/gpus-and-ram-are-in-short-supply-but-the-real-bottleneck-for-ai-is-electricians/5247566",2026-09-10T00:00:00Z
site-b034c54b77,sub-kintigh,secondary_feed,sub-kintigh,"Re-pointed 2026-09-10: the Lake Mariner filings (#849, #1670, #1732) now carry the campus's site id, so the vouched facts follow the edge. Applies to every Lake Mariner edge on Kintigh. Dual 345 kV circuits into the site, one named POI (Kintigh 345kV) - redundant circuits sharing one substation. https://www.datacenterfrontier.com/site-selection/article/55379784/terawulfs-lake-mariner-campus-how-a-retired-coal-plant-became-an-ai-factory-prototype",2026-09-10T00:00:00Z
